id_exp,seed,step,network_topology,population_size,nb_strg_arg,adding_cycle,population_with_added_arg,population_with_attacked_arg,polarisation,mean_intention,rate_adoption
14,0.9638088301275144,250,regular,100,1,50,100,5,0.019869197957583455,0.2204862541852502,0.26
12,0.9756216081146213,250,regular,100,1,50,97,2,0.03116728592210836,0.08269811168491016,0.2
13,0.5827815194250637,250,regular,100,1,50,100,0,0.032359857524332,0.15741023050727235,0.29
15,0.9405683701455716,300,regular,100,1,50,100,2,0.03228328509337902,0.1964709262186129,0.24
13,0.5827815194250637,300,regular,100,1,50,100,0,0.03427650943932397,0.16482922655948712,0.29
14,0.9638088301275144,300,regular,100,1,50,100,5,0.018648513553964918,0.21761494612102428,0.26
12,0.9756216081146213,300,regular,100,1,50,98,1,0.03164112918785131,0.07853583824212435,0.2
14,0.9638088301275144,350,regular,100,1,50,100,5,0.01940733166822333,0.2181955128888102,0.26
15,0.9405683701455716,350,regular,100,1,50,100,2,0.032962165982287586,0.19882225173709517,0.24
12,0.9756216081146213,350,regular,100,1,50,98,1,0.030897932812255207,0.07781686412946758,0.2
13,0.5827815194250637,350,regular,100,1,50,100,0,0.03279155238517977,0.1632871103457588,0.29
14,0.9638088301275144,400,regular,100,1,50,100,5,0.019327025798803937,0.21862769727579284,0.26
15,0.9405683701455716,400,regular,100,1,50,100,2,0.03201788126255271,0.19892123292334968,0.24
13,0.5827815194250637,400,regular,100,1,50,100,0,0.03306706880054301,0.16711966390002814,0.29
12,0.9756216081146213,400,regular,100,1,50,98,1,0.029744568510527793,0.07685460904186563,0.2
12,0.9756216081146213,450,regular,100,1,50,98,1,0.031385616449228895,0.07527896627607844,0.2
14,0.9638088301275144,450,regular,100,1,50,100,5,0.019668798778757064,0.21948476334472075,0.26
13,0.5827815194250637,450,regular,100,1,50,100,0,0.03393847971626781,0.16580462195002585,0.29
15,0.9405683701455716,450,regular,100,1,50,100,2,0.033539963511180285,0.19995753749869002,0.24
